ASIN,SKU集合,上周,上上周,上周单量,上上周单量,单量环比%,上周销售额,上上周销售额,销售额环比%,上周广告花费,上上周广告花费,上周TACOS%,上上周TACOS%,TACOS环比%,预警标记,需补充广告指标
B0BHQZD6R9,KC4PSP16000,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0BHR38WKP,KC4PSP16900,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0BHTGVBRB,KC4PSP17700,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,11.9,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0BHTJ9G48,KC4PSP16600,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0BJKK2MLP,KC4PSP17100,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0BJV5L526,KC4PSP16900,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0BJV9CPXG,KC4PSP15900,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,2.18,6.53,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0BL2DLJ95,KC4PSP16100,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0BL72L8YZ,KC4PSP17300,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0BLRLL89F,KC4PSP17200,2026-W35,2026-W34,1.0,1.0,0.0,1130.5,1130.5,0.0,19.39,29.59,1.72,2.62,-34.47,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0C1SCBX65,KC4PSP16500,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0C3HK9H5Y,KC4PSP15900,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0C5MW5NDQ,KC4PSP16800,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CB7XJ2GM,KC4SGE00900,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,11.84,12.31,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CBPGBTFN,KC4PSP17100,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CBPGMQHF,KC4PSP16000,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CBS7ZS3K,KC4PSP17400,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CBS97JLD,KC4PSP16000,2026-W35,2026-W34,0.0,1.0,-100.0,0.0,1017.01,-100.0,0.0,0.0,,0.0,,单量下滑≥20%；销售额下滑≥20%,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CBTPY4F2,KC4PSP16400,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CBTRBNK1,KC4PSP17200,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CBTSR963,KC4PSP18200,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,17.34,5.17,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CCSCLCSS,KC4PSP15800,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,11.22,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
