ASIN,SKU集合,上周,上上周,上周单量,上上周单量,单量环比%,上周销售额,上上周销售额,销售额环比%,上周广告花费,上上周广告花费,上周毛利润-实际,上上周毛利润-实际,上周毛利率%,上上周毛利率%,毛利率环比%,上周TACOS%,上上周TACOS%,TACOS环比%,预警标记,需补充广告指标
B0BD3HPZ63,KC4PSP17600,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0BHQZ6Z18,KC4PSP16600,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0BHR38WKP,KC4PSP16900,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0BHTGVBRB,KC4PSP17700,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,11.9,0.0,-11.9,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0BHTJ9G48,KC4PSP16600,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0BJKK2MLP,KC4PSP17100,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,-3.39,-11.87,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0BJV9CPXG,KC4PSP15900,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,4.35,2.18,-4.35,-2.18,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0BL2C7HW3,KC4PSP17300,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0BL2DLJ95,KC4PSP16100,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0BL72L8YZ,KC4PSP17300,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0BLRLL89F,KC4PSP17200,2026-W36,2026-W35,0.0,1.0,-100.0,0.0,1130.5,-100.0,0.0,19.38,0.0,130.43,,11.54,,,1.71,,单量下滑≥20%；销售额下滑≥20%,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0C1SCBX65,KC4PSP16500,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0C3HK9H5Y,KC4PSP15900,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,3.26,0.0,-3.26,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0C5MW5NDQ,KC4PSP16800,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CB7XJ2GM,KC4SGE00900,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,8.7,11.83,-8.7,-11.83,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CBPB4SKX,KC4PSP17100,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CBPGBTFN,KC4PSP17100,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CBPGMQHF,KC4PSP16000,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,4.28,0.0,-4.28,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CBS7ZS3K,KC4PSP17400,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CBS97JLD,KC4PSP16000,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,32.98,0.0,-32.98,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CBTPY4F2,KC4PSP16400,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CBTRBNK1,KC4PSP17200,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CBTSR963,KC4PSP18200,2026-W36,2026-W35,3.0,0.0,N/A,3286.24,0.0,N/A,18.5,17.34,611.4,-17.34,18.6,,,0.56,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CCSCLCSS,KC4PSP15800,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,2.86,0.0,-2.86,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CD241Q7W,KC4PSP16700,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,-7.38,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CD25HG2B,KC4SGE00100,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CD7VLYWQ,KC4PSP17600,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CDWMF62P,KC4PSP17700,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CDWP5MP4,KC4PSP17000,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CF1B11W8,KC4PSP15800,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,8.09,7.82,-8.09,-7.82,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CF29KRRW,KC4SGE00800,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,3.13,0.0,-3.13,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CF2G6GQZ,KC4PSP16700,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CF3W37F1,KC4PSP18000,2026-W36,2026-W35,0.0,1.0,-100.0,0.0,1065.83,-100.0,0.0,0.0,-13.41,120.59,,11.31,,,0.0,,单量下滑≥20%；销售额下滑≥20%,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CF4CQ7SK,KC4PSP17400,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CF5F916G,KC4PSP17600,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,18.63,22.37,-31.76,-35.19,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CFF3SMT8,KC4PSP18200,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CGMF52M4,KC4PSP17300,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CGMFTFJ5,KC4PSP16000,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CHRY9LFW,KC4SGE00400,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM5J3D3R,KC4PSP18100,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM5KXCBC,KC4PSP17000,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM5M5Y9P,KC4PSP17100,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,5.44,0.0,-5.44,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM6LF2PG,KC4PSP17400,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM8VCS3W,KC4PSP18200,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM97Y53C,KC4PSP17100,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM987JTK,KC4PSP17200,2026-W36,2026-W35,1.0,0.0,N/A,1130.5,0.0,N/A,12.85,0.0,135.97,0.0,12.03,,,1.14,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM98WTYV,KC4PSP16000,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM99BGZD,KC4PSP18200,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM9B1YL9,KC4SGE00300,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM9B9ZBS,KC4SGE01700,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM9BBVKZ,KC4PSP17300,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CM9BQJX2,KC4SGE01200,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN12FKX6,KC4PSP16700,2026-W36,2026-W35,1.0,0.0,N/A,930.17,0.0,N/A,0.0,0.0,113.38,0.0,12.19,,,0.0,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN138TN6,KC4PSP17500,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN13GFRJ,KC4PSP16200,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN142XPS,KC4PSP16000,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,-20.25,-53.01,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CN1487MF,KC4PSP16300,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
