ASIN,掉量起点,异常因素,事件时间点,是否对齐,核心证据,证据等级,原因分类,建议动作
B0CBS97JLD,2026-08-21,库存异常,2026-08-12,否,THIRD_PARTY可售库存=2.0,弱,直接原因,补货并核对各仓可售库存
B0CD241Q7W,2026-08-26,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0CF1B11W8,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0CF5F916G,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0CM6LF2PG,2026-08-23,库存异常,2026-08-11,否,THIRD_PARTY可售库存=0.0,弱,直接原因,补货并核对各仓可售库存
B0CN12FKX6,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0CN179KRG,2026-08-21,库存异常,2026-08-12,否,THIRD_PARTY可售库存=2.0,弱,直接原因,补货并核对各仓可售库存
B0CN18MW7K,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0CN6XCKMD,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0CN9J33S8,2026-08-21,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0CX55D1S9,2026-08-24,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0D579TSP1,2026-08-22,链接异常,2026-09-08 09:41:36,否,SMC标签：链接异常/变狗,弱,直接原因,检查链接状态/变体并修复
B0D5VL2VXB,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0D5VQ98F7,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DL55S89N,2026-08-23,链接异常,2026-09-08 09:41:36,否,SMC标签：链接异常/变狗,弱,直接原因,检查链接状态/变体并修复
B0DL56LYF8,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DPCWK445,2026-08-21,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0DPCWMZ9B,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DPCWQQCS,2026-08-21,库存异常,2026-08-11,否,THIRD_PARTY可售库存=1.0,弱,直接原因,补货并核对各仓可售库存
B0DPCWSF3G,2026-08-23,库存异常,2026-08-11,否,THIRD_PARTY可售库存=1.0,弱,直接原因,补货并核对各仓可售库存
B0DPCWWRMM,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DPCWYHXB,2026-08-25,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DPCX14JC,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DPCX4KJV,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DPCX66CY,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DPCX7QHQ,2026-08-21,库存异常,2026-08-13,否,THIRD_PARTY可售库存=2.0,弱,直接原因,补货并核对各仓可售库存
B0DPCXHB93,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DPCXPSCH,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DPCXXGCQ,2026-08-21,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0DPMWTLZB,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DPQG957S,2026-08-24,库存异常,2026-08-11,否,THIRD_PARTY可售库存=2.0,弱,直接原因,补货并核对各仓可售库存
B0DPWVY87S,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DPWYBZ41,2026-08-21,库存异常,2026-08-11,否,THIRD_PARTY可售库存=1.0,弱,直接原因,补货并核对各仓可售库存
B0DPZK76DX,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DPZN1RR3,2026-08-23,库存异常,2026-08-25,是,THIRD_PARTY可售库存=2.0,中,直接原因,补货并核对各仓可售库存
B0DQ1593RH,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DQ3KXSFQ,2026-08-21,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0DR144TNH,2026-08-25,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DR167V3Z,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DSDNHMWF,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DSDVMWFK,2026-08-22,库存异常,2026-08-11,否,THIRD_PARTY可售库存=2.0,弱,直接原因,补货并核对各仓可售库存
B0DSPSL9SX,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DSZQ5BCN,2026-08-21,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0DWJG1S64,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DWJLP9LW,2026-08-25,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DWJZLMJ2,2026-08-24,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DWK1388B,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
