活动ID,原活动名,重复ASIN数,重复ASIN列表,处置动作,处理状态,关联活动ID
100433204518578,SP-Auto-Mix-转向器26新品-王云-OO4SGE35600,4,B0GSD39Q7L；B0GTT8WX7B；B0GTTQ9NMZ；B0H6WM1NCV,观察,待运营确认,100433204518578；120208862935473；215117840703711；268206496571761；49811275669002
103740798703650,SP-Auto-Mix-转向器26新品-王云-OO4SGE34100,3,B0GSCYCMBG；B0GTTPRT8T；B0H6WBJG7H,观察,待运营确认,103740798703650；188917118027942；268206496571761；49811275669002
108434675542588,SP-KW-转向器-王云-KC4PSP15900-B0DPMWTLZB,1,B0DPMWTLZB,保留,待运营确认,108434675542588；120208862935473；268206496571761；49811275669002；508698268817487
117528584268157,SP-KW-Mix-转向器26新品-王云-OO4SGE38800,4,B0GSCYWWKW；B0GTTHLTHZ；B0GTTL85NY；B0H6WLQDVM,观察,待运营确认,117528584268157；120208862935473；209993314684186；268206496571761；49811275669002
117891715770881,SP-KW-Mix-转向器26新品-王云-OO4SGE38100,4,B0GSCDPFX1；B0GTTGB2F7；B0GTTJPBYK；B0H6WGMHPN,观察,待运营确认,117891715770881；21159205231221；268206496571761；49811275669002
120208862935473,SP-PT-转向器-王云-类目,230,B0BHTGVBRB；B0BLRLL89F；B0CF1B11W8；B0CF5F916G；B0CN14M1B4；B0CN15P14D；B0CN17GBN5；B0CN1868JM；B0CN6CLFVC；B0CN9F6LTF；B0CPFCXGMR；B0CPLYQPPW；B0CR18HZJC；B0D2D19CXW；B0D579TSP1；B0D5VL2VXB；B0D5VM1FST；B0DM96BQMG；B0DPCVYND6；B0DPCVZ4KH；B0DPCWMZ9B；B0DPCWN73Z；B0DPCWP8WR；B0DPCWQQCS；B0DPCWSF3G；B0DPCWWJHP；B0DPCWXT64；B0DPCWYHX9；B0DPCWYHXB；B0DPCWYNV6；B0DPCX11BY；B0DPCX3B23；B0DPCX4KJV；B0DPCX66CY；B0DPCX7QHQ；B0DPCXF2L9；B0DPCXH2PS；B0DPCXHB93；B0DPCXJTLG；B0DPCXKHXJ；B0DPCXKRCL；B0DPCXMRG4；B0DPCXSHJ8；B0DPCXZJQR；B0DPCY29GS；B0DPCY3SC2；B0DPMTFB27；B0DPMWTLZB；B0DPQG957S；B0DPQLYGNY；B0DPQNQD9G；B0DPZN1RR3；B0DPZS1LTK；B0DPZS94X1；B0DPZZNHWJ；B0DQ1713QC；B0DQZW5FXY；B0DQZX7L79；B0DR144TNH；B0DR1648XY；B0DR17PR85；B0DSDJV4NR；B0DSDKVX4J；B0DSDNHMWF；B0DSDQJT1S；B0DSPSL9SX；B0DSZVM93Q；B0DSZWN9RL；B0DWJQ3GNZ；B0DWJVN71Y；B0DWMSG3ML；B0DWMSSG1M；B0DWMT7C59；B0DWMT91GZ；B0DWMTBPZG；B0DWMTCC74；B0DWMTVB9C；B0DWMTZ8H1；B0DWMV3RPH；B0DWMV85N5；B0DWMVBS9V；B0DWMVNYMS；B0DWMVRNCJ；B0DWMVZ3BX；B0DWMW2718；B0DWMW85HW；B0DWMW8QBM；B0DWMWW45F；B0DWMX4BRG；B0F52XDM8T；B0F5324ZWR；B0F53DJQ49；B0F66Y1ZRR；B0F66YL93N；B0F66YQD1K；B0F66YZG6G；B0F66ZGNY8；B0F66ZWC45；B0F671H2XC；B0F671L76Z；B0F671MSR1；B0F671WTP3；B0F672R5VW；B0F672SLXV；B0F672XXMY；B0F6734V72；B0F673JP96；B0F673QG8L；B0F673ZGGP；B0F674LGB2；B0F6LJ7SHC；B0F6LJ7SV7；B0F6LJC2ZZ；B0F6LQ1J5Y；B0F6LQ1KNV；B0F6LRKXS2；B0F6LTZ1PB；B0F6LVFPSB；B0F6LVNVBG；B0F6LVWBQP；B0F6LWF86H；B0F6Y2VP1F；B0F6Y87FCZ；B0F9P15CFH；B0F9P1QSQ9；B0F9P2QX6Z；B0F9P2Y523；B0F9P2YZ89；B0F9P39BQ3；B0F9P4HWT4；B0F9P56J5K；B0F9P58SC6；B0F9P6R93Z；B0F9P6Z4J9；B0FCXQK488；B0FCXQNNJR；B0FCXY85QD；B0FCY28VSK；B0FCY4HGCF；B0FH6QKKB6；B0FLY2W3KJ；B0FLY3VDV4；B0FLY467RB；B0FLY5WTN1；B0FLY63Z5L；B0FLY648TN；B0FLY7Y3ZS；B0G2BRNN1K；B0G3NB921T；B0G3NCNKJ9；B0G7JFNSJF；B0G7JWTSN6；B0G7KF2FB2；B0G7KM1PKV；B0GCM4SZ8D；B0GQZ1RZM9；B0GQZ8BTP9；B0GQZB7LVN；B0GQZB98RM；B0GQZBWLRX；B0GQZCYLNP；B0GQZDB9RJ；B0GQZDL2NS；B0GQZFFJLK；B0GQZJJ997；B0GQZL4118；B0GQZLS7PZ；B0GQZM88B7；B0GR2RSK79；B0GR2RTL92；B0GR31KW4H；B0GR32H6WX；B0GR345J7B；B0GR34KY99；B0GR36VYQS；B0GR37HV17；B0GR39CKDS；B0GR3B3S1F；B0GR4377DH；B0GR456L19；B0GR45NK9S；B0GR46HMN7；B0GR4CLXDD；B0GR4G6P7P；B0GR4H4M4Q；B0GR4HTKZV；B0GR4MMBH1；B0GR4ND1ZP；B0GR4QTT46；B0GR4S6CNN；B0GR4TMSHC；B0GR4TWF3D；B0GR4V1436；B0GR51CJ8M；B0GSCDPTTP；B0GSCHV15P；B0GSCKK336；B0GSCQZNBJ；B0GSCTYV8X；B0GSCYWWKW；B0GSCZ2K1B；B0GSD1T7VX；B0GSD39Q7L；B0GTSC9PSP；B0GTT2ZVN4；B0GTT8WX7B；B0GTTFC9WL；B0H2Z6F3CF；B0H6W8GKV4；B0H6W8M47G；B0H6W8WBYW；B0H6WC6J4N；B0H6WD42SN；B0H6WDYZVD；B0H6WFYLY8；B0H6WG6FBJ；B0H6WGKPR5；B0H6WGSHB4；B0H6WJ5F5J；B0H6WKNBLS；B0H6WKSJ7V；B0H6WL6547；B0H6WLQDVM；B0H6WN631T；B0H6WNHTQ6；B0H6WNKJCR；B0H6WPMXL9；B0H6WPPZ4N；B0H6WPSRG8；B0H6WQK99C,保留合并,待运营确认,100433204518578；108434675542588；117528584268157；120208862935473；123106893657080；137288491964506；143784401052619；144985204977772；150279347644092；156160119395826；162721140269199；167565422331786；169993850438152；171762181066933；184806298431624；198719370297882；202940090284010；208020909887427；209993314684186；215117840703711；242884828741717；246704904027352；268206496571761；282825088717793；285575805306790；286701403790955；286788515056225；286842931049291；287264640879468；287341848875970；290208786211660；291009935197784；291078970738237；291997103153240；292680179653479；294425490142228；295367820843943；296783036928237；301924735109143；304611794908561；305552428551389；307689005084512；308590308570177；310189606679377；311769082967617；311827172474075；312597428444741；312612243601189；313897942274532；314947835076636；316256637301363；318590754608566；319813267568372；321185844966604；322876736991534；323235949213675；323767853670489；324539651127643；325595994693392；329394352515939；329411240077113；329468485032754；330400544291799；330961875891986；333445356261965；341713238198784；341748835267968；342122428056249；342467513166749；345972684863618；347733884649482；348151549120570；348424816065187；349122922135241；349982971199966；350323080334219；350368042503117；351206533667751；353103078780687；355523367371184；356758365009133；359452874596679；359639073501443；361096617573114；361680688980797；361707052877791；362438534178874；363184406457081；364260386744016；365285641806156；366673826379107；369716443417131；369823666272133；371418180162499；372346782418254；375931766963882；376239778492829；379081985623289；379315989408307；380106885453440；383481604790145；383852894734951；386417150341294；388930711384621；389027994946247；391929569886115；392625080003029；392792581257401；396016186690011；397594581728985；398007269120656；399049815300747；399736531644583；399863777034413；400554237450532；401296197473184；407339480322236；407457632973047；408876370749586；409107786307754；409258553642061；410610371881705；410917304609725；411530919129630；412176595523322；414801370465857；416737657439615；418799267291228；419983535882025；423274931947611；427785957694300；432058755450975；435199703309566；436536007394334；439718848290303；440328296977344；441600428422762；446575576179749；447081291128945；447393216530746；451129904825195；451229582437485；452084938499409；452489399212700；462909015765399；463781884745227；464221091468789；465328045215178；467597876578019；467710560720840；468415742439570；469548640579762；470750437173061；474595686793887；474674729487623；475090204414277；476682491496105；476704838732991；481920988678058；484012740708625；484733306076830；485493807932199；486332328709661；486456439589990；486787564067278；487174028535475；490431741992571；490530429102719；490619584637154；490865186669128；491422430619017；493373641595993；494863235557879；495874038592779；49811275669002；499663773309857；500192690319929；502409415581658；505702090108663；506271416232412；506614629627813；506807644943997；508321324710812；508698268817487；509416468570480；510975215038569；513318291983695；514403012831926；514939449617227；516321833791923；516546546489501；517007512352905；517429376606219；520517159687618；521756860068679；523641136226609；524531914610155；525385083960750；525420681465973；527465248172721；529005462384968；532938447458537；53376821127360；534587547932822；535719948259660；537249647343945；537733476745548；537848717797431；541422363000116；541843098643415；542300619336163；542890146622068；543151247187902；543696485885271；544581359831705；544967441262590；545164644852826；546400871758991；547683122087460；549601474247645；551388286345468；551513967981274；554433794465192；558882070291307；558981733218176；559944367123957；562385525546795；61696678390363；73839525450139；74851431964887；8225861911505；90360036699472；9142979043827
123106893657080,SP-Auto-Mix-转向器26新品-王云-OO4SGE36200,1,B0GSCDPTTP,保留,待运营确认,120208862935473；123106893657080；268206496571761；49811275669002；53376821127360
137288491964506,SP-KW-Mix-转向器26新品-王云-OO4SGE34600,4,B0GSCGSCM3；B0GTTG712J；B0GTTTXGTB；B0H6WPPZ4N,观察,待运营确认,120208862935473；137288491964506；268206496571761；49811275669002；83937817600768
138796703668965,SP-KW-Mix-转向器26新品-王云-OO4SGE36600,4,B0GSD2MH1L；B0GTT88NQL；B0GTTL469N；B0H6WCKDC2,观察,待运营确认,138796703668965；268206496571761；280623132003193；49811275669002
143784401052619,SP-KW-Mix-转向器26新品-王云-OO4SGE36000,2,B0GTT2ZVN4；B0GWPRC3F4,观察,待运营确认,120208862935473；143784401052619；268206496571761；49811275669002
