搜索词,广告活动,活动ID,ASIN,广告组ID,广告组名称,判定类型,应用层级,曝光,点击,花费,订单,销售额,来源报告周期,处理状态
power steering rack and pinion toyota 4 runner 1998,SP-KW-BR-LXX-steering-B0GGRPCTLZ/B0GGRVNLHG-车型1-BS,789174415196,B0GGRPCTLZ,156274804448338,4RUNNER,不相关品牌,L2活动级否定,1.0,1.0,0.94,0.0,0.0,近7天,待模块E校验
rack and pinion boots 1997 toyota tacoma,SP-KW-BR-LXX-steering-B0GGRPCTLZ/B0GGRVNLHG-车型1-BS,789174415196,B0GGRPCTLZ,185133650158454,Tacoma,适配外年份,L2活动级否定,1.0,1.0,1.02,0.0,0.0,近7天,待模块E校验
2007 nissan 350z steering rack 93284m,SP-KW-MIXS-王云-转向器-OO4SGE39100,8225861911505,B0GSCHV15P,40730227691107,GF,不相关品牌/车型,L2活动级否定,4.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
2006 hyundai sonata 3.3 rack and pinion,SP-KW-MIXS-王云-转向器-OO4SGE37000,9142979043827,B0GR51CJ8M,417754249090685,GFNF,适配外年份,L2活动级否定,19.0,1.0,0.84,0.0,0.0,近7天,待模块E校验
2003 lincoln towncar rack and pinion,SP-KW-MIXS-王云-转向器-OO4SGE34300,20978556205150,B0H6XD418V,140074262102873,GF,不相关品牌,L2活动级否定,1.0,1.0,0.36,0.0,0.0,近7天,待模块E校验
hydraulic steering rack honda odyssey 2006,SP-AUTO-MIXS-王云-转向器-OO4SGE38100,21159205231221,B0GTTJPBYK,487435649093842,OO4SGE38100,适配外年份,L2活动级否定,6.0,1.0,0.6,0.0,0.0,近7天,待模块E校验
steering rack and pinion toyota rav4 2007,SP-KW-MIXS-王云-转向器-B0DWMSF77S-02,49452471507623,B0DWMSF77S,203077478674259,B0DWMSF77S,适配外年份,L2活动级否定,3.0,1.0,1.08,0.0,0.0,近7天,待模块E校验
04 gmc canyon rack and pinion steering assembly,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,4.0,2.0,0.8,0.0,0.0,近7天,待模块E校验
2005 dodge ram 1500 rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,4.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2008 subaru wrxsteering rack,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,1.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
2011 kia forte rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,16.0,1.0,0.15,1.0,171.99,近7天,待模块E校验
cadillac steering rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
ford fusion se 2.5l rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,1.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
hydraulic steering rack hyundai accent 2005,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
rack and pinion boot kia soul 2014,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
