待否词,广告活动,活动ID,ASIN,原判定类型,原应用层级,适配状态,可否决,原因,处理动作,确认状态
power steering rack and pinion toyota 4 runner 1998,SP-KW-BR-LXX-steering-B0GGRPCTLZ/B0GGRVNLHG-车型1-BS,789174415196,B0GGRPCTLZ,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion boots 1997 toyota tacoma,SP-KW-BR-LXX-steering-B0GGRPCTLZ/B0GGRVNLHG-车型1-BS,789174415196,B0GGRPCTLZ,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2007 nissan 350z steering rack 93284m,SP-KW-MIXS-王云-转向器-OO4SGE39100,8225861911505,B0GSCHV15P,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2006 hyundai sonata 3.3 rack and pinion,SP-KW-MIXS-王云-转向器-OO4SGE37000,9142979043827,B0GR51CJ8M,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2003 lincoln towncar rack and pinion,SP-KW-MIXS-王云-转向器-OO4SGE34300,20978556205150,B0H6XD418V,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
hydraulic steering rack honda odyssey 2006,SP-AUTO-MIXS-王云-转向器-OO4SGE38100,21159205231221,B0GTTJPBYK,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
steering rack and pinion toyota rav4 2007,SP-KW-MIXS-王云-转向器-B0DWMSF77S-02,49452471507623,B0DWMSF77S,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
04 gmc canyon rack and pinion steering assembly,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2005 dodge ram 1500 rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2008 subaru wrxsteering rack,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2011 kia forte rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
cadillac steering rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
ford fusion se 2.5l rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
hydraulic steering rack hyundai accent 2005,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
