词,类型,来源,来源活动,搜索量/曝光,点击,订单,销售额,花费,预估竞争度,推荐ASIN,建议匹配类型,建议动作,处理状态
2005 ford f150 4x4 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,14.0,2.0,2.0,360.98,0.96,待补ABA搜索量/排名,B0GTT2ZVN4,精准,新建对应ASIN关键词投放，7天复核,待运营确认
2009 honda accord 3.5l steering rack kit,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-LXX-steering-B0GGRTVYBN-年份车型-BS,1.0,1.0,2.0,346.94,1.17,待补ABA搜索量/排名,B0GGRTVYBN,精准,新建对应ASIN关键词投放，7天复核,待运营确认
2005 acura tsx rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-王云-转向器-B0DPCWXT64-KC4PSP17900；SP-KW-转向器-王云-BD-KC4PSP17900-B0DPCWXT64,68.0,8.0,2.0,337.98,7.8,待补ABA搜索量/排名,B0DPCWXT64,精准,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion assembly,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-KC4PSP18200,2.0,1.0,2.0,261.58,0.64,待补ABA搜索量/排名,B0DPQNQD9G,精准,新建对应ASIN关键词投放，7天复核,待运营确认
b0cf9ybj3t,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-KX4SGE09200,2.0,1.0,2.0,259.39,0.3,待补ABA搜索量/排名,B0DWK1388B,精准,新建对应ASIN关键词投放，7天复核,待运营确认
2012 hyundai accent steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-王云-转向器-B0F673LWGL-PT4SGE19900；SP-KW-转向器-PT4SGE19900-B0F673LWGL-02,12.0,3.0,2.0,177.98,3.01,待补ABA搜索量/排名,B0F673LWGL,精准,新建对应ASIN关键词投放，7天复核,待运营确认
rack n pinion toyota rav4 2018 hybrid,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-PT4SGE19100,15.0,2.0,2.0,102.99,2.1,待补ABA搜索量/排名,B0FCXRVNRZ,精准,新建对应ASIN关键词投放，7天复核,待运营确认
power steering sprocket and rack replacement for toyota,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,90.0,8.0,1.0,308.99,3.44,待补ABA搜索量/排名,B0DPCXMRG4,词组,新建对应ASIN关键词投放，7天复核,待运营确认
power steering rack pinion for toyota tundra 4x4 2013,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,7.0,2.0,1.0,296.99,0.9,待补ABA搜索量/排名,B0DWMVRNCJ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2014 toyota tundra 5.7 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KX4SGE07700,10.0,1.0,1.0,296.99,0.84,待补ABA搜索量/排名,B0GR31KW4H,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2021 toyota tundra steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KX4SGE07700-重点,15.0,1.0,1.0,296.99,0.69,待补ABA搜索量/排名,B0GR31KW4H,词组,新建对应ASIN关键词投放，7天复核,待运营确认
