年月,ASIN,SKU,售价,出库销量,出库销售额,采购成本,头程,佣金,税费,仓储费,Coupon预留(5%),尾程费(参考未计主线),广告花费,平衡ACOS%,目标ACOS%,当前ACOS%,含尾程保守平衡ACOS%,状态
2026-08,B0DPQG957S,KC4PSP16200,1319.13,27.0,35616.56,16447.55,2424.98,7515.1,2230.4,1069.16,1780.83,0.0,1030.03,11.65,6.65,2.89,11.65,可增投
2026-08,B0F43KHJC2,KC4PSP16300,1275.54,25.0,31888.6,15156.61,963.14,6728.49,2041.35,1180.8,1594.43,0.0,728.29,13.25,8.25,2.28,13.25,可增投
2026-08,B0DWJZLMJ2,KC4PSP16900,1122.0,22.0,24684.0,11981.61,704.13,5208.32,1605.86,600.38,1234.2,0.0,379.47,13.57,8.57,1.54,13.57,可增投
2026-08,B0CN15P14D,KC4PSP16000,1013.0,20.0,20259.92,9254.08,1067.25,4274.84,1258.23,786.48,1013.0,0.0,1352.09,12.86,7.86,6.67,12.86,可增投
2026-08,B0DPCX4KJV,KX4SGE08100,1654.03,12.0,19848.38,9120.86,496.46,4188.01,1238.31,535.03,992.42,0.0,550.57,16.51,11.51,2.77,16.51,可增投
2026-08,B0DPCWXT64,KC4PSP17900,986.0,20.0,19720.0,8952.03,643.74,4160.92,1218.98,497.99,986.0,0.0,1860.03,16.53,11.53,9.43,16.53,可增投
2026-08,B0DPCWSF3G,KC4SGE04700,1085.21,17.0,18448.6,8040.85,483.83,3892.66,1105.94,460.91,922.43,0.0,1123.12,19.2,14.2,6.09,19.2,可增投
2026-08,B0DPQNQD9G,KC4PSP18200,1149.13,16.0,18386.11,7264.55,1172.87,3879.47,1024.95,788.93,919.31,0.0,662.04,18.14,13.14,3.6,18.14,可增投
2026-08,B0DPCXMRG4,KC4SGE03700,1195.03,15.0,17925.48,7227.3,412.06,3782.28,1014.2,475.41,896.27,0.0,451.76,22.97,17.97,2.52,22.97,可增投
2026-08,B0H6WNHXW2,KX4SGE12700,1026.73,15.0,15400.98,8210.04,443.2,3249.61,1077.68,414.54,770.05,0.0,149.14,8.02,3.02,0.97,8.02,可增投
2026-08,B0DWJLP9LW,KX4SGE08800,1121.93,12.0,13463.18,5649.31,310.39,2840.73,784.53,515.62,673.16,0.0,196.96,19.98,14.98,1.46,19.98,可增投
2026-08,B0GCM4SZ8D,PT4SGE24100,1618.33,8.0,12946.66,5925.66,290.64,2731.74,805.28,310.99,647.33,0.0,90.65,17.26,12.26,0.7,17.26,可增投
2026-08,B0DPCY3SC2,KC4SGE05100,1421.13,9.0,12790.19,5408.94,379.07,2698.73,749.65,419.73,639.51,0.0,519.07,19.5,14.5,4.06,19.5,可增投
2026-08,B0DPCWYHXB,KC4PSP17700,1054.0,12.0,12648.0,5708.53,275.11,2668.73,778.41,438.72,632.4,0.0,331.26,16.97,11.97,2.62,16.97,可增投
2026-08,B0GQZ68DTZ,KX4SGE09200,1149.2,11.0,12641.2,5077.91,376.61,2667.29,713.28,473.52,632.06,0.0,123.97,21.36,16.36,0.98,21.36,可增投
2026-08,B0GQZFFJLK,KC4SGE01800,1060.8,11.0,11668.8,4700.35,298.51,2462.12,659.76,524.26,583.44,0.0,304.67,20.91,15.91,2.61,20.91,可增投
2026-08,B0DPCXYMH5,KC4PSP16100,836.4,13.0,10873.2,4930.59,515.25,2294.25,671.57,340.92,543.66,0.0,169.06,14.5,9.5,1.55,14.5,可增投
2026-08,B0FLY773XG,KC4PSP16300,1312.4,8.0,10499.2,4850.12,308.21,2215.33,657.66,377.86,524.96,0.0,148.39,14.91,9.91,1.41,14.91,可增投
2026-08,B0DPCXKRCL,KX4SGE08200,952.0,11.0,10472.0,4711.65,411.44,2209.59,642.97,403.26,523.6,0.0,258.29,14.99,9.99,2.47,14.99,可增投
2026-08,B0H9LR1FFX,KX4SGE10200,1142.33,9.0,10280.99,5550.78,207.52,2169.29,726.64,387.6,514.05,0.0,7.14,7.05,2.05,0.07,7.05,可增投
